id,name,hex,brand,code,productCode,series,zt_order
MARD:D1,D1,#AEB4F2,MARD,D1,D1,D,279
MARD:E24,E24,#F6E4F9,MARD,E24,E24,E,280
MARD:H4,H4,#868686,MARD,H4,H4,H,281
MARD:P14,P14,#3177B0,MARD,P14,P14,P,282
MARD:B14,B14,#ADE945,MARD,B14,B14,B,283
MARD:D2,D2,#858EDD,MARD,D2,D2,D,284
MARD:F1,F1,#FD957B,MARD,F1,F1,F,285
MARD:H5,H5,#474747,MARD,H5,H5,H,286
MARD:P15,P15,#668575,MARD,P15,P15,P,287
MARD:B15,B15,#2E5132,MARD,B15,B15,B,288
MARD:D3,D3,#3054AF,MARD,D3,D3,D,289
MARD:F2,F2,#FC3D45,MARD,F2,F2,F,290
MARD:P16,P16,#FFBE46,MARD,P16,P16,P,291
